,dt,ax [mg],ay [mg],az [mg],gx [mdeg/s],gy [mdeg/s],gz [mdeg/s],mx [mgauss],my [mgauss],mz [mgauss],roll [deg],pitch [deg],yaw [deg]
122,0.004,-198.85999999999999,-58.315999999999995,1043.8319999999999,11497.5,4480.0,577.5,-116.76,211.68,-889.9800000000001,-3.120879120879121,-10.796703296703297,-78.03846153846153
123,0.004,-198.85999999999999,-58.315999999999995,1043.344,11865.0,4480.0,665.0,-118.58000000000001,216.44000000000003,-887.0400000000001,-3.3461538461538463,-10.736263736263735,-78.0
124,0.004,-198.85999999999999,-58.315999999999995,1043.344,10780.0,4340.0,665.0,-118.58000000000001,216.44000000000003,-887.0400000000001,-3.2142857142857144,-10.76923076923077,-78.03296703296704
125,0.004,-198.85999999999999,-58.56,1043.344,11410.0,4305.0,402.5,-118.58000000000001,216.44000000000003,-887.0400000000001,-3.230769230769231,-10.928571428571429,-78.04945054945055
126,0.004,-198.85999999999999,-58.56,1043.344,11305.0,4357.5,472.5,-119.84000000000002,220.50000000000003,-889.84,-3.2527472527472527,-10.736263736263735,-78.04395604395604
127,0.004,-198.85999999999999,-58.56,1043.8319999999999,11567.5,4445.0,700.0,-119.84000000000002,220.50000000000003,-889.84,-3.159340659340659,-10.835164835164836,-78.07142857142857
128,0.004,-198.85999999999999,-58.804,1044.32,11410.0,4462.5,577.5,-119.84000000000002,220.50000000000003,-889.84,-3.3241758241758244,-10.68131868131868,-78.03846153846153
129,0.004,-198.85999999999999,-58.804,1044.808,11235.0,4340.0,612.5,-118.30000000000001,220.64000000000001,-884.8000000000001,-3.2252747252747254,-10.774725274725276,-78.07142857142857
130,0.004,-198.85999999999999,-59.048,1045.54,11602.5,4392.5,752.5,-118.30000000000001,220.64000000000001,-884.8000000000001,-3.318681318681319,-10.582417582417582,-78.04945054945055
131,0.004,-198.85999999999999,-59.048,1046.272,11602.5,4462.5,630.0,-118.30000000000001,220.64000000000001,-884.8000000000001,-3.28021978021978,-10.725274725274724,-78.07142857142857
132,0.004,-198.85999999999999,-59.048,1046.76,11392.5,4427.5,717.5,-118.30000000000001,220.64000000000001,-884.8000000000001,-3.1483516483516483,-10.76923076923077,-78.1043956043956
133,0.004,-198.85999999999999,-59.292,1047.98,11410.0,4480.0,892.5,-120.26,217.00000000000003,-884.8000000000001,-3.3626373626373627,-10.675824175824175,-78.06593406593407
134,0.004,-198.85999999999999,-59.536,1048.224,10920.0,4480.0,822.5,-120.26,217.00000000000003,-884.8000000000001,-3.2362637362637363,-10.736263736263735,-78.0989010989011
135,0.004,-198.85999999999999,-59.78,1048.956,11130.0,4567.5,437.5,-120.26,217.00000000000003,-884.8000000000001,-3.4395604395604398,-10.62087912087912,-78.06043956043956
136,0.004,-198.85999999999999,-59.78,1049.6879999999999,11445.0,4480.0,577.5,-116.48000000000002,213.92000000000002,-890.1200000000001,-3.3241758241758244,-10.686813186813186,-78.0934065934066
137,0.004,-198.85999999999999,-59.78,1049.6879999999999,10465.0,4340.0,612.5,-116.48000000000002,213.92000000000002,-890.1200000000001,-3.1923076923076925,-10.741758241758241,-78.12637362637362
138,0.004,-198.85999999999999,-59.78,1049.444,11165.0,4287.5,700.0,-116.48000000000002,213.92000000000002,-890.1200000000001,-3.412087912087912,-10.653846153846153,-78.08791208791209
139,0.004,-198.85999999999999,-59.536,1048.956,11200.0,4322.5,735.0,-110.46000000000001,218.12000000000003,-888.7200000000001,-3.2857142857142856,-10.708791208791208,-78.12087912087912
140,0.004,-198.85999999999999,-59.536,1047.98,11147.5,4445.0,752.5,-110.46000000000001,218.12000000000003,-888.7200000000001,-3.1758241758241756,-10.796703296703297,-78.14835164835165
141,0.004,-198.85999999999999,-59.536,1047.004,11287.5,4392.5,647.5,-110.46000000000001,218.12000000000003,-888.7200000000001,-3.3736263736263736,-10.67032967032967,-78.11538461538461
142,0.004,-198.85999999999999,-59.292,1046.028,11445.0,4375.0,735.0,-112.28000000000002,219.52,-887.1800000000001,-3.2637362637362637,-10.747252747252746,-78.14835164835165
143,0.004,-198.85999999999999,-59.292,1045.54,11112.5,4410.0,892.5,-112.28000000000002,219.52,-887.1800000000001,-3.1263736263736264,-10.785714285714286,-78.17582417582418
144,0.004,-198.85999999999999,-59.048,1044.564,11480.0,4480.0,595.0,-112.28000000000002,219.52,-887.1800000000001,-3.357142857142857,-10.73076923076923,-78.14285714285714
145,0.004,-198.85999999999999,-58.804,1043.8319999999999,11217.5,4287.5,490.0,-116.9,215.18,-887.32,-3.2252747252747254,-10.76923076923077,-78.17582417582418
146,0.004,-198.85999999999999,-58.804,1043.344,10850.0,4392.5,682.5,-116.9,215.18,-887.32,-3.2857142857142856,-10.928571428571429,-78.17582417582418
147,0.004,-198.61599999999999,-58.804,1043.1,11200.0,4305.0,560.0,-116.9,215.18,-887.32,-3.269230769230769,-10.747252747252746,-78.17582417582418
148,0.004,-198.85999999999999,-58.56,1042.856,11497.5,4550.0,665.0,-115.64000000000001,219.66000000000003,-888.8600000000001,-3.159340659340659,-10.82967032967033,-78.20879120879121
